Step,Training Loss,Learning Rate
0,10.9085,2.4000e-05
100,10.7545,2.4132e-05
200,10.5068,2.4527e-05
300,10.5709,2.5186e-05
400,10.1162,2.6107e-05
500,9.9021,2.7289e-05
600,9.4341,2.8733e-05
700,9.4852,3.0435e-05
800,9.1815,3.3106e-05
900,7.6058,3.5407e-05
1000,7.9718,3.7961e-05
1100,9.3661,4.0767e-05
1200,6.4186,4.3820e-05
1300,7.0408,4.7119e-05
1400,7.6390,5.0660e-05
1500,9.6647,5.4441e-05
1600,6.7785,5.9848e-05
1700,6.4761,6.4173e-05
1800,7.6176,6.8725e-05
1900,6.7830,7.3499e-05
2000,6.6074,7.8492e-05
2100,6.4769,8.3699e-05
2200,6.6857,8.9114e-05
2300,7.6077,9.4734e-05
2400,6.1116,1.0253e-04
2500,6.2648,1.0861e-04
2600,7.2483,1.1487e-04
2700,5.5155,1.2131e-04
2800,5.5020,1.2793e-04
2900,5.2100,1.3471e-04
3000,4.0678,1.4166e-04
3100,5.0271,1.4877e-04
3200,5.0688,1.5847e-04
3300,5.6046,1.6591e-04
3400,5.0809,1.7348e-04
3500,3.9551,1.8119e-04
3600,5.2729,1.8901e-04
3700,4.7295,1.9694e-04
3800,5.8440,2.0498e-04
3900,4.9895,2.1312e-04
4000,5.8996,2.2411e-04
4100,5.7585,2.3245e-04
4200,4.3518,2.4086e-04
4300,4.7987,2.4933e-04
4400,4.3760,2.5786e-04
4500,4.9038,2.6644e-04
4600,4.3379,2.7507e-04
4700,4.2359,2.8373e-04
4800,5.3171,2.9531e-04
4900,4.4015,3.0401e-04
5000,4.5487,3.1273e-04
5100,3.4373,3.2144e-04
5200,4.4077,3.3014e-04
5300,4.9816,3.3883e-04
5400,4.7063,3.4749e-04
5500,4.1390,3.5612e-04
5600,4.9373,3.6756e-04
5700,4.7984,3.7609e-04
5800,3.8309,3.8455e-04
5900,4.6116,3.9295e-04
6000,4.7049,4.0127e-04
6100,5.4389,4.0952e-04
6200,5.5634,4.1767e-04
6300,4.4053,4.2573e-04
6400,3.7572,4.3630e-04
6500,4.9316,4.4411e-04
6600,3.7731,4.5179e-04
6700,4.4720,4.5934e-04
6800,3.6966,4.6676e-04
6900,5.1898,4.7404e-04
7000,3.1280,4.8116e-04
7100,5.5067,4.8814e-04
7200,4.6604,4.9718e-04
7300,4.3510,5.0377e-04
7400,4.0532,5.1018e-04
7500,3.2837,5.1642e-04
7600,4.6219,5.2246e-04
7700,3.6448,5.2831e-04
7800,3.3907,5.3396e-04
7900,4.5726,5.3941e-04
8000,4.9289,5.4636e-04
8100,4.0603,5.5131e-04
8200,4.0807,5.5605e-04
8300,3.9463,5.6056e-04
8400,4.9732,5.6485e-04
8500,3.5347,5.6891e-04
